Part or Item Number,Item Category,Item Name,Current Stock,On Order,Max Capacity,Price Per Unit,Cost Per Unit,Price to Cost Ratio,Sold Price,Sizes,Description,In Store + On Order,Stock Status,Overstocked,Cost of Current Order,Total Cost in Stock,Total Stocked Item Cost
71,Designed Pearl Shrug,White DPS,1,0,1,dh180.00,dh46.00,3.9,,Free,,1,In Stock, ,dh0.00,dh46.00,dh180.00
72,Saree - Fendi,Beige SF,1,0,1,dh169.00,dh42.00,4.0,440,Free,,1,Sold, ,dh0.00,dh42.00,dh169.00
73,Saree - Fendi,Pastel Green SF,1,0,1,dh169.00,dh42.00,4.0,,Free,,1,In Stock, ,dh0.00,dh42.00,dh169.00
74,Saree - Gorget,Black SG,1,0,1,dh149.00,dh50.00,3.0,,Free,,1,In Stock, ,dh0.00,dh50.00,dh149.00
75,Saree - Fendi,Candy Purple SF,1,0,1,dh80.00,dh17.00,4.7,,Free,,1,In Stock, ,dh0.00,dh17.00,dh80.00
76,Saree - Fendi,Golden SF,1,0,1,dh80.00,dh17.00,4.7,,Free,,1,In Stock, ,dh0.00,dh17.00,dh80.00
77,Saree - Fendi,Black SF,1,0,1,dh80.00,dh17.00,4.7,,Free,,1,In Stock, ,dh0.00,dh17.00,dh80.00
78,Saree - Fendi,Green SF,1,0,1,dh80.00,dh17.00,4.7,,Free,,1,In Stock, ,dh0.00,dh17.00,dh80.00
79,Saree - Cotton,Beige - SC,1,0,1,dh140.00,dh51.00,2.7,,Free,,1,In Stock, ,dh0.00,dh51.00,dh140.00
80,Saree - Cotton,Brown Katha Work- SC,1,0,1,dh120.00,dh43.00,2.8,,Free,,1,In Stock, ,dh0.00,dh43.00,dh120.00
81,Saree - Cotton,Green - SC,1,0,1,dh110.00,dh29.00,3.8,,Free,,1,In Stock, ,dh0.00,dh29.00,dh110.00
82,Saree - Tussar Silk,Pink - STS,1,0,1,dh110.00,dh26.00,4.2,,Free,,1,In Stock, ,dh0.00,dh26.00,dh110.00
83,Saree - Gheesa jal Silk,Mauve - GJS,1,0,1,dh110.00,dh25.00,4.4,,Free,,1,In Stock, ,dh0.00,dh25.00,dh110.00
84,Saree - Printed Satin,Maroon - SPS,1,0,1,dh70.00,dh18.00,3.9,,Free,,1,In Stock, ,dh0.00,dh18.00,dh70.00
85,Saree Designer - Cotton Mix,Grey - SDCM,1,0,1,dh70.00,dh14.00,5.0,,Free,,1,In Stock, ,dh0.00,dh14.00,dh70.00
86,Saree - South Cotton,White - SSC,1,0,1,dh50.00,dh16.00,3.1,,Free,,1,In Stock, ,dh0.00,dh16.00,dh50.00
87,Saree - South Cotton,White with Purple Border - SSC,1,0,1,dh50.00,dh16.00,3.1,,Free,,1,In Stock, ,dh0.00,dh16.00,dh50.00
88,Saree - South Cotton,Grey - SSC,1,0,1,dh110.00,dh28.00,3.9,,Free,,1,In Stock, ,dh0.00,dh28.00,dh110.00
89,Saree - Printed Satin,Blue - SPS,1,0,1,dh70.00,dh18.00,3.9,,Free,,1,In Stock, ,dh0.00,dh18.00,dh70.00
